all_nonzero_distance,all_nonzero_r0,all_nonzero_r10,all_nonzero_r100,all_nonzero_r14,all_nonzero_r2,all_nonzero_r25,all_nonzero_r5,all_nonzero_r50,first_world_object_distance,first_world_object_id,first_world_object_name,group,map_id,nominal_footprint_nonzero_cells,nominal_footprint_world_cells,player,representation,start_x,start_y,world_decor_r0,world_decor_r10,world_decor_r100,world_decor_r14,world_decor_r2,world_decor_r25,world_decor_r5,world_decor_r50
4,0,5,279,7,0,28,1,108,4,73,Adult Tree 6,20p,sav_012,0,0,10,static,188,95,0,5,279,7,0,28,1,108
7,0,3,334,5,0,24,0,113,7,115,Building Stone 1,20p,sav_012,0,0,11,static,535,321,0,3,334,5,0,24,0,113
4,0,7,288,14,0,33,2,93,4,4,Big Stone 4,20p,sav_012,0,0,12,static,318,153,0,7,288,14,0,33,2,93
4,0,6,436,8,0,21,1,120,4,36,Small Plant 2,20p,sav_012,0,0,13,static,579,279,0,6,436,8,0,21,1,120
4,0,5,288,8,0,28,2,108,4,56,Small Bush 4,20p,sav_012,0,0,14,static,592,651,0,5,288,8,0,28,2,108
4,0,4,365,10,0,30,2,136,4,39,Toadstool 2,20p,sav_012,0,0,15,static,506,442,0,4,365,10,0,30,2,136
8,0,3,428,7,0,20,0,103,8,76,Adult Tree 9,20p,sav_012,0,0,16,static,424,472,0,3,428,7,0,20,0,103
5,0,4,509,15,0,57,1,190,5,71,Elm 2,20p,sav_012,0,0,17,static,374,552,0,4,509,15,0,57,1,190
7,0,3,432,7,0,22,0,114,7,123,Building Stone 9,20p,sav_012,0,0,18,static,259,541,0,3,432,7,0,22,0,114
2,0,2,261,2,1,29,1,106,2,40,Toadstool 3,20p,sav_012,1,1,19,static,310,698,0,2,261,2,1,29,1,106
5,0,4,364,9,0,26,1,85,5,75,Adult Tree 8,20p,sav_012,0,0,20,static,118,516,0,4,364,9,0,26,1,85
5,0,5,219,9,0,26,1,98,5,15,Border Stone 3,20p,sav_013,0,0,1,static,519,65,0,5,219,9,0,26,1,98
6,0,3,269,7,0,31,0,106,6,123,Building Stone 9,20p,sav_013,0,0,2,static,685,338,0,3,269,7,0,31,0,106
1,0,5,307,11,1,30,2,100,1,56,Small Bush 4,20p,sav_013,2,2,3,static,205,493,0,5,307,11,1,30,2,100
4,0,3,437,8,0,42,1,148,4,22,Small Stone 2,20p,sav_013,0,0,4,static,626,156,0,3,437,8,0,42,1,148
5,0,7,339,11,0,40,1,124,5,4,Big Stone 4,20p,sav_013,0,0,5,static,122,192,0,7,339,11,0,40,1,124
6,0,4,373,11,0,39,0,123,6,34,Grave,20p,sav_013,0,0,6,static,646,231,0,4,373,11,0,39,0,123
4,0,4,243,5,0,23,1,93,4,77,Adult Tree 10,20p,sav_013,0,0,7,static,239,699,0,4,243,5,0,23,1,93
4,0,9,316,14,0,36,2,110,4,10,Decorative Stone 2,20p,sav_013,0,0,8,static,159,309,0,9,316,14,0,36,2,110
2,0,7,455,10,1,34,2,172,2,24,Small Stone 4,20p,sav_013,1,1,9,static,501,323,0,7,455,10,1,34,2,172
4,0,2,414,4,0,32,1,135,4,80,Adult Tree 13,20p,sav_013,0,0,10,static,553,401,0,2,414,4,0,32,1,135
4,0,9,344,12,0,33,2,116,4,73,Adult Tree 6,20p,sav_013,0,0,11,static,348,532,0,9,344,12,0,33,2,116
6,0,2,362,9,0,27,0,88,6,15,Border Stone 3,20p,sav_013,0,0,12,static,375,379,0,2,362,9,0,27,0,88
5,0,4,414,13,0,42,1,125,5,75,Adult Tree 8,20p,sav_013,0,0,13,static,467,619,0,4,414,13,0,42,1,125
2,0,5,439,14,1,45,2,159,2,38,Toadstool 1,20p,sav_013,1,1,14,static,87,458,0,5,439,14,1,45,2,159
5,0,4,325,10,0,32,1,126,5,119,Building Stone 5,20p,sav_013,0,0,15,static,393,678,0,4,325,10,0,32,1,126
4,0,5,277,12,0,45,1,96,4,73,Adult Tree 6,20p,sav_013,0,0,16,static,306,189,0,5,277,12,0,45,1,96
5,0,4,322,8,0,39,2,103,5,120,Building Stone 6,20p,sav_013,0,0,17,static,136,121,0,4,322,8,0,39,2,103
3,0,7,467,17,0,35,1,110,3,22,Small Stone 2,20p,sav_013,1,1,18,static,482,421,0,7,467,17,0,35,1,110
4,0,4,428,12,0,26,1,118,4,74,Adult Tree 7,20p,sav_013,0,0,19,static,442,509,0,4,428,12,0,26,1,118
9,0,4,386,6,0,28,0,119,9,122,Building Stone 8,20p,sav_013,0,0,20,static,344,270,0,4,386,6,0,28,0,119
5,0,17,418,21,0,53,2,143,5,80,Adult Tree 13,20p,sav_014,0,0,1,static,535,415,0,17,418,21,0,53,2,143
5,0,5,354,10,0,27,2,143,5,59,Bush 3,20p,sav_014,0,0,2,static,679,415,0,5,354,10,0,27,2,143
3,0,7,405,12,0,43,3,151,3,37,Small Plant 3,20p,sav_014,1,1,3,static,258,227,0,7,405,12,0,43,3,151
6,0,6,351,10,0,24,0,73,6,125,Building Stone 11,20p,sav_014,0,0,4,static,452,369,0,6,351,10,0,24,0,73
7,0,3,325,10,0,25,0,126,7,54,Small Bush 2,20p,sav_014,0,0,5,static,420,89,0,3,325,10,0,25,0,126
5,0,2,327,4,0,22,1,103,5,23,Small Stone 3,20p,sav_014,0,0,6,static,214,469,0,2,327,4,0,22,1,103
5,0,6,410,14,0,53,1,135,5,73,Adult Tree 6,20p,sav_014,0,0,7,static,409,536,0,6,410,14,0,53,1,135
6,0,6,441,13,0,48,0,155,6,13,Border Stone 1,20p,sav_014,0,0,8,static,591,196,0,6,441,13,0,48,0,155
9,0,2,413,2,0,16,0,107,9,122,Building Stone 8,20p,sav_014,0,0,9,static,124,386,0,2,413,2,0,16,0,107
1,0,4,365,10,1,39,2,102,1,8,Big Stone 8,20p,sav_014,1,1,10,static,277,137,0,4,365,10,1,39,2,102
5,0,6,287,8,0,31,1,96,5,73,Adult Tree 6,20p,sav_014,0,0,11,static,190,545,0,6,287,8,0,31,1,96
4,0,5,230,10,0,33,2,91,4,81,Adult Tree 14,20p,sav_014,0,0,12,static,93,171,0,5,230,10,0,33,2,91
9,0,1,325,3,0,30,0,120,9,9,Decorative Stone 1,20p,sav_014,0,0,13,static,512,327,0,1,325,3,0,30,0,120
4,0,5,387,10,0,27,1,98,4,77,Adult Tree 10,20p,sav_014,0,0,14,static,653,272,0,5,387,10,0,27,1,98
6,0,5,296,12,0,30,0,119,6,81,Adult Tree 14,20p,sav_014,0,0,15,static,666,683,0,5,296,12,0,30,0,119
8,0,3,434,6,0,22,0,135,8,68,Birch 1,20p,sav_014,0,0,16,static,494,540,0,3,434,6,0,22,0,135
6,0,4,305,9,0,31,0,86,6,50,Small Flower 1,20p,sav_014,0,0,17,static,265,388,0,4,305,9,0,31,0,86
5,0,4,295,6,0,29,1,111,5,69,Birch 2,20p,sav_014,0,0,18,static,429,667,0,4,295,6,0,29,1,111
5,0,5,436,10,0,43,1,142,5,41,Tree Stump 1,20p,sav_014,0,0,19,static,515,148,0,5,436,10,0,43,1,142
5,0,3,431,7,0,30,1,119,5,60,Bush 4,20p,sav_014,0,0,20,static,472,624,0,3,431,7,0,30,1,119
6,0,7,368,11,0,25,0,105,6,121,Building Stone 7,20p,sav_015,0,0,1,static,574,374,0,7,368,11,0,25,0,105
4,0,5,348,10,0,33,1,104,4,8,Big Stone 8,20p,sav_015,0,0,2,static,684,560,0,5,348,10,0,33,1,104
6,0,5,342,11,0,32,0,115,6,124,Building Stone 10,20p,sav_015,0,0,3,static,241,386,0,5,342,11,0,32,0,115
4,0,3,417,7,0,18,2,93,4,37,Small Plant 3,20p,sav_015,0,0,4,static,378,337,0,3,417,7,0,18,2,93
2,0,11,330,23,1,59,3,138,2,56,Small Bush 4,20p,sav_015,1,1,5,static,696,333,0,11,330,23,1,59,3,138
2,0,7,330,12,1,40,2,115,2,40,Toadstool 3,20p,sav_015,1,1,6,static,500,540,0,7,330,12,1,40,2,115
9,0,2,335,5,0,22,0,77,9,120,Building Stone 6,20p,sav_015,0,0,7,static,312,432,0,2,335,5,0,22,0,77
1,0,9,352,14,1,39,4,130,1,8,Big Stone 8,20p,sav_015,2,2,8,static,548,291,0,9,352,14,1,39,4,130
4,0,4,402,10,0,41,1,132,4,5,Big Stone 5,20p,sav_015,0,0,9,static,153,515,0,4,402,10,0,41,1,132
4,0,7,298,16,0,39,1,117,4,71,Elm 2,20p,sav_015,0,0,10,static,534,105,0,7,298,16,0,39,1,117
6,0,1,339,5,0,22,0,104,6,121,Building Stone 7,20p,sav_015,0,0,11,static,168,226,0,1,339,5,0,22,0,104
4,0,5,220,12,0,36,1,95,4,81,Adult Tree 14,20p,sav_015,0,0,12,static,279,102,0,5,220,12,0,36,1,95
2,0,4,299,5,1,24,1,120,2,10,Decorative Stone 2,20p,sav_015,1,1,13,static,650,210,0,4,299,5,1,24,1,120
11,0,0,345,3,0,29,0,107,11,126,Building Stone 12,20p,sav_015,0,0,14,static,547,513,0,0,345,3,0,29,0,107
5,0,2,239,7,0,26,1,106,5,18,Border Stone 6,20p,sav_015,0,0,15,static,424,133,0,2,239,7,0,26,1,106
7,0,4,331,13,0,42,0,139,7,71,Elm 2,20p,sav_015,0,0,16,static,403,278,0,4,331,13,0,42,0,139
6,0,2,301,9,0,30,0,79,6,125,Building Stone 11,20p,sav_015,0,0,17,static,151,422,0,2,301,9,0,30,0,79
8,0,1,353,6,0,29,0,108,8,125,Building Stone 11,20p,sav_015,0,0,18,static,227,502,0,1,353,6,0,29,0,108
12,0,0,289,4,0,24,0,97,12,79,Palm 2,20p,sav_015,0,0,19,static,588,697,0,0,289,4,0,24,0,97
6,0,4,286,5,0,20,0,86,6,80,Adult Tree 13,20p,sav_015,0,0,20,static,320,697,0,4,286,5,0,20,0,86
6,0,5,346,7,0,29,0,96,6,59,Bush 3,20p,sav_016,0,0,1,static,169,405,0,5,346,7,0,29,0,96
5,0,4,361,5,0,22,2,94,5,15,Border Stone 3,20p,sav_016,0,0,2,static,101,609,0,4,361,5,0,22,2,94
8,0,3,257,9,0,39,0,121,8,81,Adult Tree 14,20p,sav_016,0,0,3,static,557,83,0,3,257,9,0,39,0,121
5,0,4,388,7,0,26,1,96,5,68,Birch 1,20p,sav_016,0,0,4,static,431,398,0,4,388,7,0,26,1,96
4,0,5,491,6,0,29,1,122,4,5,Big Stone 5,20p,sav_016,0,0,5,static,583,394,0,5,491,6,0,29,1,122
5,0,7,220,13,0,32,3,97,5,76,Adult Tree 9,20p,sav_016,0,0,6,static,304,697,0,7,220,13,0,32,3,97
6,0,4,308,9,0,33,0,123,6,76,Adult Tree 9,20p,sav_016,0,0,7,static,250,108,0,4,308,9,0,33,0,123
3,0,10,294,16,0,41,2,97,3,54,Small Bush 2,20p,sav_016,1,1,8,static,311,346,0,10,294,16,0,41,2,97
6,0,2,398,7,0,32,0,135,6,55,Small Bush 3,20p,sav_016,0,0,9,static,369,509,0,2,398,7,0,32,0,135
6,0,8,404,19,0,48,0,152,6,69,Birch 2,20p,sav_016,0,0,10,static,91,516,0,8,404,19,0,48,0,152
6,0,7,267,15,0,49,0,123,6,119,Building Stone 5,20p,sav_016,0,0,11,static,162,129,0,7,267,15,0,49,0,123
6,0,3,410,7,0,22,0,121,6,121,Building Stone 7,20p,sav_016,0,0,12,static,379,266,0,3,410,7,0,22,0,121
2,0,7,348,14,1,52,2,139,2,51,Small Flower 2,20p,sav_016,1,1,13,static,613,297,0,7,348,14,1,52,2,139
10,0,1,332,6,0,23,0,122,10,71,Elm 2,20p,sav_016,0,0,14,static,538,533,0,1,332,6,0,23,0,122
11,0,0,311,8,0,39,0,107,11,41,Tree Stump 1,20p,sav_016,0,0,15,static,633,166,0,0,311,8,0,39,0,107
8,0,3,245,9,0,32,0,102,8,59,Bush 3,20p,sav_016,0,0,16,static,556,640,0,3,245,9,0,32,0,102
6,0,3,329,7,0,25,0,101,6,77,Adult Tree 10,20p,sav_016,0,0,17,static,153,323,0,3,329,7,0,25,0,101
6,0,3,394,8,0,29,0,136,6,122,Building Stone 8,20p,sav_016,0,0,18,static,674,503,0,3,394,8,0,29,0,136
5,0,4,362,11,0,34,1,94,5,69,Birch 2,20p,sav_016,0,0,19,static,344,590,0,4,362,11,0,34,1,94
4,0,2,413,7,0,27,1,124,4,60,Bush 4,20p,sav_016,0,0,20,static,450,166,0,2,413,7,0,27,1,124
