byte9_nonzero,byte9_zero,cells,coords_count,family,group,map_id,name,object_id,pct_map,representation,role,terrain_counts
0,28,28,28,toadstool,2p,sav_001,Toadstool 3,40,0.004747,static,world_decor,"{""16"": 28}"
1,22,23,23,stump,2p,sav_001,Tree Stump 1,41,0.003899,static,world_decor,"{""16"": 23}"
1,30,31,31,stump,2p,sav_001,Tree Stump 2,42,0.005256,static,world_decor,"{""16"": 31}"
0,3,3,3,dead_tree,2p,sav_001,Dead Tree 1,43,0.000509,static,world_decor,"{""64"": 3}"
0,3,3,3,dead_tree,2p,sav_001,Dead Tree 2,44,0.000509,static,world_decor,"{""64"": 3}"
1,4,5,5,cactus,2p,sav_001,Cactus 1,45,0.000848,static,world_decor,"{""64"": 5}"
0,8,8,8,cactus,2p,sav_001,Cactus 2,46,0.001356,static,world_decor,"{""64"": 8}"
0,9,9,9,cactus,2p,sav_001,Cactus 3,47,0.001526,static,world_decor,"{""64"": 9}"
0,3,3,3,cactus,2p,sav_001,Cactus 4,48,0.000509,static,world_decor,"{""64"": 3}"
0,3,3,3,skeleton,2p,sav_001,Skeleton,49,0.000509,static,world_decor,"{""64"": 3}"
0,37,37,37,small_flower,2p,sav_001,Small Flower 1,50,0.006273,static,world_decor,"{""16"": 37}"
0,25,25,25,small_flower,2p,sav_001,Small Flower 2,51,0.004239,static,world_decor,"{""16"": 25}"
1,25,26,26,small_flower,2p,sav_001,Small Flower 3,52,0.004408,static,world_decor,"{""16"": 26}"
0,29,29,29,small_bush,2p,sav_001,Small Bush 1,53,0.004917,static,world_decor,"{""16"": 29}"
1,21,22,22,small_bush,2p,sav_001,Small Bush 2,54,0.00373,static,world_decor,"{""16"": 22}"
0,17,17,17,small_bush,2p,sav_001,Small Bush 3,55,0.002882,static,world_decor,"{""16"": 17}"
2,31,33,33,small_bush,2p,sav_001,Small Bush 4,56,0.005595,static,world_decor,"{""16"": 33}"
0,27,27,27,bush,2p,sav_001,Bush 1,57,0.004578,static,world_decor,"{""16"": 27}"
0,24,24,24,bush,2p,sav_001,Bush 2,58,0.004069,static,world_decor,"{""16"": 24}"
0,26,26,26,bush,2p,sav_001,Bush 3,59,0.004408,static,world_decor,"{""16"": 26}"
0,31,31,31,bush,2p,sav_001,Bush 4,60,0.005256,static,world_decor,"{""16"": 31}"
0,31,31,31,bush,2p,sav_001,Bush 5,61,0.005256,static,world_decor,"{""16"": 31}"
0,1,1,1,reed,2p,sav_001,Reed 2,63,0.00017,static,world_decor,"{""80"": 1}"
0,1,1,1,reed,2p,sav_001,Reed 5,66,0.00017,static,world_decor,"{""80"": 1}"
2,216,218,218,adult_tree,2p,sav_001,Birch 1,68,0.03696,static,world_decor,"{""16"": 218}"
0,213,213,213,adult_tree,2p,sav_001,Birch 2,69,0.036112,static,world_decor,"{""16"": 213}"
2,235,237,237,adult_tree,2p,sav_001,Elm 1,70,0.040181,static,world_decor,"{""16"": 237}"
3,221,224,224,adult_tree,2p,sav_001,Elm 2,71,0.037977,static,world_decor,"{""16"": 224}"
6,192,198,198,adult_tree,2p,sav_001,Oak,72,0.033569,static,world_decor,"{""16"": 198}"
3,193,196,196,adult_tree,2p,sav_001,Adult Tree 6,73,0.03323,static,world_decor,"{""16"": 196}"
1,160,161,161,adult_tree,2p,sav_001,Adult Tree 7,74,0.027296,static,world_decor,"{""16"": 161}"
1,160,161,161,adult_tree,2p,sav_001,Adult Tree 8,75,0.027296,static,world_decor,"{""16"": 161}"
4,168,172,172,adult_tree,2p,sav_001,Adult Tree 9,76,0.029161,static,world_decor,"{""16"": 172}"
10,170,180,180,adult_tree,2p,sav_001,Adult Tree 10,77,0.030518,static,world_decor,"{""16"": 180}"
0,12,12,12,palm,2p,sav_001,Palm 1,78,0.002035,static,world_decor,"{""64"": 12}"
0,16,16,16,palm,2p,sav_001,Palm 2,79,0.002713,static,world_decor,"{""64"": 16}"
6,330,336,336,adult_tree,2p,sav_001,Adult Tree 13,80,0.056966,static,world_decor,"{""16"": 336}"
3,309,312,312,adult_tree,2p,sav_001,Adult Tree 14,81,0.052897,static,world_decor,"{""16"": 312}"
0,107,107,107,building_stone,2p,sav_001,Building Stone 1,115,0.018141,static,world_decor,"{""16"": 107}"
1,110,111,111,building_stone,2p,sav_001,Building Stone 2,116,0.018819,static,world_decor,"{""16"": 111}"
2,124,126,126,building_stone,2p,sav_001,Building Stone 3,117,0.021362,static,world_decor,"{""16"": 126}"
0,116,116,116,building_stone,2p,sav_001,Building Stone 4,118,0.019667,static,world_decor,"{""16"": 116}"
2,119,121,121,building_stone,2p,sav_001,Building Stone 5,119,0.020515,static,world_decor,"{""16"": 121}"
1,117,118,118,building_stone,2p,sav_001,Building Stone 6,120,0.020006,static,world_decor,"{""16"": 118}"
2,123,125,125,building_stone,2p,sav_001,Building Stone 7,121,0.021193,static,world_decor,"{""16"": 125}"
1,118,119,119,building_stone,2p,sav_001,Building Stone 8,122,0.020176,static,world_decor,"{""16"": 119}"
1,132,133,133,building_stone,2p,sav_001,Building Stone 9,123,0.022549,static,world_decor,"{""16"": 133}"
2,104,106,106,building_stone,2p,sav_001,Building Stone 10,124,0.017971,static,world_decor,"{""16"": 106}"
5,103,108,108,building_stone,2p,sav_001,Building Stone 11,125,0.018311,static,world_decor,"{""16"": 108}"
2,112,114,114,building_stone,2p,sav_001,Building Stone 12,126,0.019328,static,world_decor,"{""16"": 114}"
1,17,18,18,building_stone,2p,sav_001,Building Stone 13,127,0.003052,static,world_decor,"{""16"": 18}"
1,24,25,25,big_stone,2p,sav_001,Big Stone 1,1,0.004239,runtime,world_decor,"{""16"": 25}"
0,24,24,24,big_stone,2p,sav_001,Big Stone 2,2,0.004069,runtime,world_decor,"{""16"": 24}"
0,39,39,39,big_stone,2p,sav_001,Big Stone 3,3,0.006612,runtime,world_decor,"{""16"": 39}"
0,29,29,29,big_stone,2p,sav_001,Big Stone 4,4,0.004917,runtime,world_decor,"{""16"": 29}"
1,30,31,31,big_stone,2p,sav_001,Big Stone 5,5,0.005256,runtime,world_decor,"{""16"": 31}"
0,29,29,29,big_stone,2p,sav_001,Big Stone 6,6,0.004917,runtime,world_decor,"{""16"": 29}"
0,30,30,30,big_stone,2p,sav_001,Big Stone 7,7,0.005086,runtime,world_decor,"{""16"": 30}"
0,31,31,31,big_stone,2p,sav_001,Big Stone 8,8,0.005256,runtime,world_decor,"{""16"": 31}"
0,26,26,26,decorative_stone,2p,sav_001,Decorative Stone 1,9,0.004408,runtime,world_decor,"{""16"": 26}"
1,40,41,41,decorative_stone,2p,sav_001,Decorative Stone 2,10,0.006951,runtime,world_decor,"{""16"": 41}"
0,27,27,27,decorative_stone,2p,sav_001,Decorative Stone 3,11,0.004578,runtime,world_decor,"{""16"": 27}"
0,43,43,43,decorative_stone,2p,sav_001,Decorative Stone 4,12,0.00729,runtime,world_decor,"{""16"": 43}"
1,34,35,35,border_stone,2p,sav_001,Border Stone 1,13,0.005934,runtime,world_decor,"{""16"": 35}"
0,33,33,33,border_stone,2p,sav_001,Border Stone 2,14,0.005595,runtime,world_decor,"{""16"": 33}"
0,30,30,30,border_stone,2p,sav_001,Border Stone 3,15,0.005086,runtime,world_decor,"{""16"": 30}"
1,35,36,36,border_stone,2p,sav_001,Border Stone 4,16,0.006104,runtime,world_decor,"{""16"": 36}"
0,29,29,29,border_stone,2p,sav_001,Border Stone 5,17,0.004917,runtime,world_decor,"{""16"": 29}"
1,34,35,35,border_stone,2p,sav_001,Border Stone 6,18,0.005934,runtime,world_decor,"{""16"": 35}"
1,28,29,29,border_stone,2p,sav_001,Border Stone 7,19,0.004917,runtime,world_decor,"{""16"": 29}"
2,31,33,33,border_stone,2p,sav_001,Border Stone 8,20,0.005595,runtime,world_decor,"{""16"": 33}"
2,38,40,40,small_stone,2p,sav_001,Small Stone 1,21,0.006782,runtime,world_decor,"{""16"": 40}"
1,26,27,27,small_stone,2p,sav_001,Small Stone 2,22,0.004578,runtime,world_decor,"{""16"": 27}"
0,32,32,32,small_stone,2p,sav_001,Small Stone 3,23,0.005425,runtime,world_decor,"{""16"": 32}"
0,30,30,30,small_stone,2p,sav_001,Small Stone 4,24,0.005086,runtime,world_decor,"{""16"": 30}"
0,27,27,27,small_stone,2p,sav_001,Small Stone 5,25,0.004578,runtime,world_decor,"{""16"": 27}"
1,28,29,29,small_stone,2p,sav_001,Small Stone 6,26,0.004917,runtime,world_decor,"{""16"": 29}"
1,25,26,26,small_stone,2p,sav_001,Small Stone 7,27,0.004408,runtime,world_decor,"{""16"": 26}"
0,24,24,24,small_stone,2p,sav_001,Small Stone 8,28,0.004069,runtime,world_decor,"{""16"": 24}"
0,3,3,3,wreck,2p,sav_001,Wreck 1,29,0.000509,runtime,world_decor,"{""48"": 3}"
0,3,3,3,wreck,2p,sav_001,Wreck 3,31,0.000509,runtime,world_decor,"{""48"": 3}"
0,2,2,2,wreck,2p,sav_001,Wreck 4,32,0.000339,runtime,world_decor,"{""48"": 2}"
0,27,27,27,grave,2p,sav_001,Grave,34,0.004578,runtime,world_decor,"{""16"": 27}"
0,29,29,29,small_plant,2p,sav_001,Small Plant 1,35,0.004917,runtime,world_decor,"{""16"": 29}"
0,27,27,27,small_plant,2p,sav_001,Small Plant 2,36,0.004578,runtime,world_decor,"{""16"": 27}"
0,27,27,27,small_plant,2p,sav_001,Small Plant 3,37,0.004578,runtime,world_decor,"{""16"": 27}"
1,27,28,28,toadstool,2p,sav_001,Toadstool 1,38,0.004747,runtime,world_decor,"{""16"": 28}"
1,27,28,28,toadstool,2p,sav_001,Toadstool 2,39,0.004747,runtime,world_decor,"{""16"": 28}"
0,28,28,28,toadstool,2p,sav_001,Toadstool 3,40,0.004747,runtime,world_decor,"{""16"": 28}"
1,22,23,23,stump,2p,sav_001,Tree Stump 1,41,0.003899,runtime,world_decor,"{""16"": 23}"
1,30,31,31,stump,2p,sav_001,Tree Stump 2,42,0.005256,runtime,world_decor,"{""16"": 31}"
0,3,3,3,dead_tree,2p,sav_001,Dead Tree 1,43,0.000509,runtime,world_decor,"{""64"": 3}"
0,3,3,3,dead_tree,2p,sav_001,Dead Tree 2,44,0.000509,runtime,world_decor,"{""64"": 3}"
1,4,5,5,cactus,2p,sav_001,Cactus 1,45,0.000848,runtime,world_decor,"{""64"": 5}"
0,8,8,8,cactus,2p,sav_001,Cactus 2,46,0.001356,runtime,world_decor,"{""64"": 8}"
0,9,9,9,cactus,2p,sav_001,Cactus 3,47,0.001526,runtime,world_decor,"{""64"": 9}"
0,3,3,3,cactus,2p,sav_001,Cactus 4,48,0.000509,runtime,world_decor,"{""64"": 3}"
0,3,3,3,skeleton,2p,sav_001,Skeleton,49,0.000509,runtime,world_decor,"{""64"": 3}"
0,37,37,37,small_flower,2p,sav_001,Small Flower 1,50,0.006273,runtime,world_decor,"{""16"": 37}"
0,25,25,25,small_flower,2p,sav_001,Small Flower 2,51,0.004239,runtime,world_decor,"{""16"": 25}"
1,25,26,26,small_flower,2p,sav_001,Small Flower 3,52,0.004408,runtime,world_decor,"{""16"": 26}"
0,29,29,29,small_bush,2p,sav_001,Small Bush 1,53,0.004917,runtime,world_decor,"{""16"": 29}"
1,21,22,22,small_bush,2p,sav_001,Small Bush 2,54,0.00373,runtime,world_decor,"{""16"": 22}"
0,17,17,17,small_bush,2p,sav_001,Small Bush 3,55,0.002882,runtime,world_decor,"{""16"": 17}"
2,31,33,33,small_bush,2p,sav_001,Small Bush 4,56,0.005595,runtime,world_decor,"{""16"": 33}"
0,27,27,27,bush,2p,sav_001,Bush 1,57,0.004578,runtime,world_decor,"{""16"": 27}"
0,24,24,24,bush,2p,sav_001,Bush 2,58,0.004069,runtime,world_decor,"{""16"": 24}"
0,26,26,26,bush,2p,sav_001,Bush 3,59,0.004408,runtime,world_decor,"{""16"": 26}"
0,30,30,30,bush,2p,sav_001,Bush 4,60,0.005086,runtime,world_decor,"{""16"": 30}"
0,31,31,31,bush,2p,sav_001,Bush 5,61,0.005256,runtime,world_decor,"{""16"": 31}"
0,1,1,1,reed,2p,sav_001,Reed 2,63,0.00017,runtime,world_decor,"{""80"": 1}"
0,1,1,1,reed,2p,sav_001,Reed 5,66,0.00017,runtime,world_decor,"{""80"": 1}"
2,216,218,218,adult_tree,2p,sav_001,Birch 1,68,0.03696,runtime,world_decor,"{""16"": 218}"
0,213,213,213,adult_tree,2p,sav_001,Birch 2,69,0.036112,runtime,world_decor,"{""16"": 213}"
2,235,237,237,adult_tree,2p,sav_001,Elm 1,70,0.040181,runtime,world_decor,"{""16"": 237}"
3,221,224,224,adult_tree,2p,sav_001,Elm 2,71,0.037977,runtime,world_decor,"{""16"": 224}"
6,192,198,198,adult_tree,2p,sav_001,Oak,72,0.033569,runtime,world_decor,"{""16"": 198}"
3,193,196,196,adult_tree,2p,sav_001,Adult Tree 6,73,0.03323,runtime,world_decor,"{""16"": 196}"
1,160,161,161,adult_tree,2p,sav_001,Adult Tree 7,74,0.027296,runtime,world_decor,"{""16"": 161}"
1,160,161,161,adult_tree,2p,sav_001,Adult Tree 8,75,0.027296,runtime,world_decor,"{""16"": 161}"
4,168,172,172,adult_tree,2p,sav_001,Adult Tree 9,76,0.029161,runtime,world_decor,"{""16"": 172}"
10,170,180,180,adult_tree,2p,sav_001,Adult Tree 10,77,0.030518,runtime,world_decor,"{""16"": 180}"
0,12,12,12,palm,2p,sav_001,Palm 1,78,0.002035,runtime,world_decor,"{""64"": 12}"
0,16,16,16,palm,2p,sav_001,Palm 2,79,0.002713,runtime,world_decor,"{""64"": 16}"
6,330,336,336,adult_tree,2p,sav_001,Adult Tree 13,80,0.056966,runtime,world_decor,"{""16"": 336}"
3,309,312,312,adult_tree,2p,sav_001,Adult Tree 14,81,0.052897,runtime,world_decor,"{""16"": 312}"
0,3,3,3,reef,2p,sav_001,Reef 2,112,0.000509,runtime,world_decor,"{""16"": 3}"
0,18,18,18,reef,2p,sav_001,Reef 3,113,0.003052,runtime,world_decor,"{""16"": 18}"
0,107,107,107,building_stone,2p,sav_001,Building Stone 1,115,0.018141,runtime,world_decor,"{""16"": 107}"
1,110,111,111,building_stone,2p,sav_001,Building Stone 2,116,0.018819,runtime,world_decor,"{""16"": 111}"
2,124,126,126,building_stone,2p,sav_001,Building Stone 3,117,0.021362,runtime,world_decor,"{""16"": 126}"
0,116,116,116,building_stone,2p,sav_001,Building Stone 4,118,0.019667,runtime,world_decor,"{""16"": 116}"
2,119,121,121,building_stone,2p,sav_001,Building Stone 5,119,0.020515,runtime,world_decor,"{""16"": 121}"
1,117,118,118,building_stone,2p,sav_001,Building Stone 6,120,0.020006,runtime,world_decor,"{""16"": 118}"
2,123,125,125,building_stone,2p,sav_001,Building Stone 7,121,0.021193,runtime,world_decor,"{""16"": 125}"
1,118,119,119,building_stone,2p,sav_001,Building Stone 8,122,0.020176,runtime,world_decor,"{""16"": 119}"
1,132,133,133,building_stone,2p,sav_001,Building Stone 9,123,0.022549,runtime,world_decor,"{""16"": 133}"
2,104,106,106,building_stone,2p,sav_001,Building Stone 10,124,0.017971,runtime,world_decor,"{""16"": 106}"
5,103,108,108,building_stone,2p,sav_001,Building Stone 11,125,0.018311,runtime,world_decor,"{""16"": 108}"
2,112,114,114,building_stone,2p,sav_001,Building Stone 12,126,0.019328,runtime,world_decor,"{""16"": 114}"
1,17,18,18,building_stone,2p,sav_001,Building Stone 13,127,0.003052,runtime,world_decor,"{""16"": 18}"
2,0,2,2,territory_marker,2p,sav_001,Red flag,255,0.000339,runtime,runtime_overlay,"{""16"": 1, ""28"": 1}"
2,43,45,45,big_stone,2p,sav_002,Big Stone 1,1,0.007629,static,world_decor,"{""16"": 45}"
0,31,31,31,big_stone,2p,sav_002,Big Stone 2,2,0.005256,static,world_decor,"{""16"": 31}"
0,33,33,33,big_stone,2p,sav_002,Big Stone 3,3,0.005595,static,world_decor,"{""16"": 33}"
0,32,32,32,big_stone,2p,sav_002,Big Stone 4,4,0.005425,static,world_decor,"{""16"": 32}"
1,29,30,30,big_stone,2p,sav_002,Big Stone 5,5,0.005086,static,world_decor,"{""16"": 30}"
1,34,35,35,big_stone,2p,sav_002,Big Stone 6,6,0.005934,static,world_decor,"{""16"": 35}"
0,34,34,34,big_stone,2p,sav_002,Big Stone 7,7,0.005764,static,world_decor,"{""16"": 34}"
0,33,33,33,big_stone,2p,sav_002,Big Stone 8,8,0.005595,static,world_decor,"{""16"": 33}"
0,37,37,37,decorative_stone,2p,sav_002,Decorative Stone 1,9,0.006273,static,world_decor,"{""16"": 37}"
0,41,41,41,decorative_stone,2p,sav_002,Decorative Stone 2,10,0.006951,static,world_decor,"{""16"": 41}"
3,34,37,37,decorative_stone,2p,sav_002,Decorative Stone 3,11,0.006273,static,world_decor,"{""16"": 37}"
1,27,28,28,decorative_stone,2p,sav_002,Decorative Stone 4,12,0.004747,static,world_decor,"{""16"": 28}"
0,31,31,31,border_stone,2p,sav_002,Border Stone 1,13,0.005256,static,world_decor,"{""16"": 31}"
0,25,25,25,border_stone,2p,sav_002,Border Stone 2,14,0.004239,static,world_decor,"{""16"": 25}"
0,22,22,22,border_stone,2p,sav_002,Border Stone 3,15,0.00373,static,world_decor,"{""16"": 22}"
0,33,33,33,border_stone,2p,sav_002,Border Stone 4,16,0.005595,static,world_decor,"{""16"": 33}"
0,31,31,31,border_stone,2p,sav_002,Border Stone 5,17,0.005256,static,world_decor,"{""16"": 31}"
0,29,29,29,border_stone,2p,sav_002,Border Stone 6,18,0.004917,static,world_decor,"{""16"": 29}"
0,35,35,35,border_stone,2p,sav_002,Border Stone 7,19,0.005934,static,world_decor,"{""16"": 35}"
0,40,40,40,border_stone,2p,sav_002,Border Stone 8,20,0.006782,static,world_decor,"{""16"": 40}"
0,31,31,31,small_stone,2p,sav_002,Small Stone 1,21,0.005256,static,world_decor,"{""16"": 31}"
0,29,29,29,small_stone,2p,sav_002,Small Stone 2,22,0.004917,static,world_decor,"{""16"": 29}"
0,28,28,28,small_stone,2p,sav_002,Small Stone 3,23,0.004747,static,world_decor,"{""16"": 28}"
0,22,22,22,small_stone,2p,sav_002,Small Stone 4,24,0.00373,static,world_decor,"{""16"": 22}"
0,30,30,30,small_stone,2p,sav_002,Small Stone 5,25,0.005086,static,world_decor,"{""16"": 30}"
0,29,29,29,small_stone,2p,sav_002,Small Stone 6,26,0.004917,static,world_decor,"{""16"": 29}"
0,33,33,33,small_stone,2p,sav_002,Small Stone 7,27,0.005595,static,world_decor,"{""16"": 33}"
0,32,32,32,small_stone,2p,sav_002,Small Stone 8,28,0.005425,static,world_decor,"{""16"": 32}"
0,2,2,2,wreck,2p,sav_002,Wreck 1,29,0.000339,static,world_decor,"{""48"": 2}"
0,3,3,3,wreck,2p,sav_002,Wreck 3,31,0.000509,static,world_decor,"{""48"": 3}"
0,1,1,1,wreck,2p,sav_002,Wreck 5,33,0.00017,static,world_decor,"{""48"": 1}"
0,33,33,33,grave,2p,sav_002,Grave,34,0.005595,static,world_decor,"{""16"": 33}"
0,27,27,27,small_plant,2p,sav_002,Small Plant 1,35,0.004578,static,world_decor,"{""16"": 27}"
0,29,29,29,small_plant,2p,sav_002,Small Plant 2,36,0.004917,static,world_decor,"{""16"": 29}"
0,25,25,25,small_plant,2p,sav_002,Small Plant 3,37,0.004239,static,world_decor,"{""16"": 25}"
0,30,30,30,toadstool,2p,sav_002,Toadstool 1,38,0.005086,static,world_decor,"{""16"": 30}"
1,35,36,36,toadstool,2p,sav_002,Toadstool 2,39,0.006104,static,world_decor,"{""16"": 36}"
0,31,31,31,toadstool,2p,sav_002,Toadstool 3,40,0.005256,static,world_decor,"{""16"": 31}"
0,32,32,32,stump,2p,sav_002,Tree Stump 1,41,0.005425,static,world_decor,"{""16"": 32}"
0,27,27,27,stump,2p,sav_002,Tree Stump 2,42,0.004578,static,world_decor,"{""16"": 27}"
0,4,4,4,dead_tree,2p,sav_002,Dead Tree 1,43,0.000678,static,world_decor,"{""64"": 4}"
0,7,7,7,dead_tree,2p,sav_002,Dead Tree 2,44,0.001187,static,world_decor,"{""64"": 7}"
0,7,7,7,cactus,2p,sav_002,Cactus 1,45,0.001187,static,world_decor,"{""64"": 7}"
0,7,7,7,cactus,2p,sav_002,Cactus 2,46,0.001187,static,world_decor,"{""64"": 7}"
0,1,1,1,cactus,2p,sav_002,Cactus 3,47,0.00017,static,world_decor,"{""64"": 1}"
0,5,5,5,cactus,2p,sav_002,Cactus 4,48,0.000848,static,world_decor,"{""64"": 5}"
0,3,3,3,skeleton,2p,sav_002,Skeleton,49,0.000509,static,world_decor,"{""64"": 3}"
3,28,31,31,small_flower,2p,sav_002,Small Flower 1,50,0.005256,static,world_decor,"{""16"": 31}"
0,26,26,26,small_flower,2p,sav_002,Small Flower 2,51,0.004408,static,world_decor,"{""16"": 26}"
0,23,23,23,small_flower,2p,sav_002,Small Flower 3,52,0.003899,static,world_decor,"{""16"": 23}"
0,33,33,33,small_bush,2p,sav_002,Small Bush 1,53,0.005595,static,world_decor,"{""16"": 33}"
1,27,28,28,small_bush,2p,sav_002,Small Bush 2,54,0.004747,static,world_decor,"{""16"": 28}"
2,26,28,28,small_bush,2p,sav_002,Small Bush 3,55,0.004747,static,world_decor,"{""16"": 27, ""28"": 1}"
0,27,27,27,small_bush,2p,sav_002,Small Bush 4,56,0.004578,static,world_decor,"{""16"": 27}"
0,32,32,32,bush,2p,sav_002,Bush 1,57,0.005425,static,world_decor,"{""16"": 32}"
0,25,25,25,bush,2p,sav_002,Bush 2,58,0.004239,static,world_decor,"{""16"": 25}"
0,28,28,28,bush,2p,sav_002,Bush 3,59,0.004747,static,world_decor,"{""16"": 28}"
0,31,31,31,bush,2p,sav_002,Bush 4,60,0.005256,static,world_decor,"{""16"": 31}"
0,26,26,26,bush,2p,sav_002,Bush 5,61,0.004408,static,world_decor,"{""16"": 26}"
0,1,1,1,reed,2p,sav_002,Reed 3,64,0.00017,static,world_decor,"{""80"": 1}"
0,1,1,1,reed,2p,sav_002,Reed 4,65,0.00017,static,world_decor,"{""80"": 1}"
2,249,251,251,adult_tree,2p,sav_002,Birch 1,68,0.042555,static,world_decor,"{""16"": 251}"
3,225,228,228,adult_tree,2p,sav_002,Birch 2,69,0.038656,static,world_decor,"{""16"": 228}"
0,185,185,185,adult_tree,2p,sav_002,Elm 1,70,0.031365,static,world_decor,"{""16"": 185}"
0,160,160,160,adult_tree,2p,sav_002,Elm 2,71,0.027127,static,world_decor,"{""16"": 160}"
1,224,225,225,adult_tree,2p,sav_002,Oak,72,0.038147,static,world_decor,"{""16"": 225}"
3,219,222,222,adult_tree,2p,sav_002,Adult Tree 6,73,0.037638,static,world_decor,"{""16"": 222}"
1,202,203,203,adult_tree,2p,sav_002,Adult Tree 7,74,0.034417,static,world_decor,"{""16"": 203}"
1,204,205,205,adult_tree,2p,sav_002,Adult Tree 8,75,0.034756,static,world_decor,"{""16"": 205}"
0,204,204,204,adult_tree,2p,sav_002,Adult Tree 9,76,0.034587,static,world_decor,"{""16"": 204}"
0,222,222,222,adult_tree,2p,sav_002,Adult Tree 10,77,0.037638,static,world_decor,"{""16"": 222}"
0,12,12,12,palm,2p,sav_002,Palm 1,78,0.002035,static,world_decor,"{""64"": 12}"
0,7,7,7,palm,2p,sav_002,Palm 2,79,0.001187,static,world_decor,"{""64"": 7}"
2,315,317,317,adult_tree,2p,sav_002,Adult Tree 13,80,0.053745,static,world_decor,"{""16"": 317}"
3,330,333,333,adult_tree,2p,sav_002,Adult Tree 14,81,0.056458,static,world_decor,"{""16"": 333}"
3,116,119,119,building_stone,2p,sav_002,Building Stone 1,115,0.020176,static,world_decor,"{""16"": 119}"
