cells_r14_total,cells_r2_total,cells_r5_total,claim_cells,family,group,maps_present,name,nearest_hex_global_min,nearest_hex_start_median,nearest_hex_start_min,nominal_footprint_cells,object_id,representation,role,starts,starts_within_14,starts_within_2,starts_within_5
13,0,1,46,toadstool,20p,8,Toadstool 2,4,63.5,4,0,39,runtime,world_decor,160,13,0,1
6,0,2,40,toadstool,20p,8,Toadstool 3,4,63.0,4,0,40,runtime,world_decor,160,6,0,2
8,0,2,50,stump,20p,8,Tree Stump 1,4,67.0,4,0,41,runtime,world_decor,160,8,0,2
9,0,0,45,stump,20p,8,Tree Stump 2,6,58.0,6,0,42,runtime,world_decor,160,9,0,0
0,0,0,5,dead_tree,20p,8,Dead Tree 1,18,211.5,18,0,43,runtime,world_decor,160,0,0,0
0,0,0,1,dead_tree,20p,7,Dead Tree 2,17,209.5,17,0,44,runtime,world_decor,140,0,0,0
0,0,0,3,cactus,20p,8,Cactus 1,22,151.5,22,0,45,runtime,world_decor,160,0,0,0
0,0,0,2,cactus,20p,8,Cactus 2,27,218.5,27,0,46,runtime,world_decor,160,0,0,0
0,0,0,3,cactus,20p,8,Cactus 3,25,173.0,25,0,47,runtime,world_decor,160,0,0,0
0,0,0,4,cactus,20p,8,Cactus 4,18,169.0,18,0,48,runtime,world_decor,160,0,0,0
0,0,0,3,skeleton,20p,7,Skeleton,28,222.0,28,0,49,runtime,world_decor,140,0,0,0
9,0,0,43,small_flower,20p,8,Small Flower 1,6,58.0,6,0,50,runtime,world_decor,160,9,0,0
13,0,1,67,small_flower,20p,8,Small Flower 2,3,49.0,3,1,51,runtime,world_decor,160,13,0,1
12,0,1,43,small_flower,20p,8,Small Flower 3,3,61.0,3,0,52,runtime,world_decor,160,11,0,1
8,0,2,40,small_bush,20p,8,Small Bush 1,3,57.5,3,0,53,runtime,world_decor,160,8,0,2
8,0,1,40,small_bush,20p,8,Small Bush 2,3,67.0,3,1,54,runtime,world_decor,160,8,0,1
11,0,0,55,small_bush,20p,8,Small Bush 3,6,55.0,6,0,55,runtime,world_decor,160,11,0,0
8,0,1,53,small_bush,20p,8,Small Bush 4,4,55.5,4,0,56,runtime,world_decor,160,8,0,1
8,0,1,47,bush,20p,8,Bush 1,3,57.0,3,1,57,runtime,world_decor,160,8,0,1
6,0,1,33,bush,20p,8,Bush 2,3,62.5,3,1,58,runtime,world_decor,160,6,0,1
10,0,2,45,bush,20p,8,Bush 3,5,62.5,5,0,59,runtime,world_decor,160,10,0,2
12,0,2,47,bush,20p,8,Bush 4,4,57.0,4,0,60,runtime,world_decor,160,11,0,2
16,0,1,50,bush,20p,8,Bush 5,4,59.5,4,0,61,runtime,world_decor,160,16,0,1
0,0,0,0,reed,20p,1,Reed 1,78,265.5,78,0,62,runtime,world_decor,20,0,0,0
1,0,0,1,reed,20p,1,Reed 2,14,395.5,14,0,63,runtime,world_decor,20,1,0,0
0,0,0,0,reed,20p,1,Reed 4,44,354.5,44,0,65,runtime,world_decor,20,0,0,0
0,0,0,1,reed,20p,1,Reed 6,21,500.5,21,0,67,runtime,world_decor,20,0,0,0
34,0,3,334,adult_tree,20p,8,Birch 1,4,27.0,4,0,68,runtime,world_decor,160,20,0,3
34,0,5,330,adult_tree,20p,8,Birch 2,5,28.5,5,0,69,runtime,world_decor,160,21,0,5
47,0,1,383,adult_tree,20p,8,Elm 1,4,25.5,4,0,70,runtime,world_decor,160,26,0,1
54,0,6,410,adult_tree,20p,8,Elm 2,4,23.0,4,0,71,runtime,world_decor,160,31,0,6
58,0,7,432,adult_tree,20p,8,Oak,5,25.0,5,0,72,runtime,world_decor,160,30,0,7
61,0,6,435,adult_tree,20p,8,Adult Tree 6,4,23.0,4,0,73,runtime,world_decor,160,33,0,6
58,0,4,330,adult_tree,20p,8,Adult Tree 7,4,27.0,4,0,74,runtime,world_decor,160,32,0,4
60,0,5,326,adult_tree,20p,8,Adult Tree 8,4,29.0,4,0,75,runtime,world_decor,160,31,0,5
65,0,7,368,adult_tree,20p,8,Adult Tree 9,4,26.0,4,0,76,runtime,world_decor,160,33,0,6
51,0,4,383,adult_tree,20p,8,Adult Tree 10,4,28.5,4,0,77,runtime,world_decor,160,30,0,4
2,0,0,4,palm,20p,8,Palm 1,13,171.5,13,0,78,runtime,world_decor,160,1,0,0
2,0,0,9,palm,20p,8,Palm 2,12,179.0,12,0,79,runtime,world_decor,160,1,0,0
95,0,8,557,adult_tree,20p,8,Adult Tree 13,4,18.0,4,0,80,runtime,world_decor,160,62,0,8
91,0,8,522,adult_tree,20p,8,Adult Tree 14,4,18.0,4,0,81,runtime,world_decor,160,59,0,8
133,0,0,333,reef,20p,8,Reef 2,6,11.0,6,0,112,runtime,world_decor,160,111,0,0
748,0,32,1998,reef,20p,8,Reef 3,4,9.0,4,0,113,runtime,world_decor,160,125,0,22
34,0,1,196,building_stone,20p,8,Building Stone 1,5,27.0,5,0,115,runtime,world_decor,160,29,0,1
29,0,1,238,building_stone,20p,8,Building Stone 2,5,25.0,5,0,116,runtime,world_decor,160,24,0,1
28,0,3,210,building_stone,20p,8,Building Stone 3,5,27.0,5,0,117,runtime,world_decor,160,24,0,3
31,0,0,232,building_stone,20p,8,Building Stone 4,7,25.5,7,0,118,runtime,world_decor,160,28,0,0
20,0,1,210,building_stone,20p,8,Building Stone 5,5,28.0,5,0,119,runtime,world_decor,160,19,0,1
28,0,1,216,building_stone,20p,8,Building Stone 6,5,27.0,5,0,120,runtime,world_decor,160,26,0,1
26,0,0,180,building_stone,20p,8,Building Stone 7,6,27.0,6,0,121,runtime,world_decor,160,24,0,0
26,0,0,201,building_stone,20p,8,Building Stone 8,6,27.0,6,0,122,runtime,world_decor,160,24,0,0
33,0,1,212,building_stone,20p,8,Building Stone 9,5,26.0,5,0,123,runtime,world_decor,160,30,0,1
32,0,2,215,building_stone,20p,8,Building Stone 10,5,27.0,5,0,124,runtime,world_decor,160,27,0,2
29,0,0,212,building_stone,20p,8,Building Stone 11,6,26.0,6,0,125,runtime,world_decor,160,25,0,0
30,0,1,213,building_stone,20p,8,Building Stone 12,5,25.0,5,0,126,runtime,world_decor,160,29,0,1
5,0,0,35,building_stone,20p,8,Building Stone 13,7,81.0,7,0,127,runtime,world_decor,160,5,0,0
160,37,160,160,territory_marker,20p,8,Red flag,2,3.0,2,160,255,runtime,runtime_overlay,160,160,37,160
10,0,1,44,big_stone,20p,8,Big Stone 1,5,60.0,5,0,1,static,world_decor,160,10,0,1
16,1,1,59,big_stone,20p,8,Big Stone 2,1,54.0,1,1,2,static,world_decor,160,16,1,1
8,0,1,49,big_stone,20p,8,Big Stone 3,5,58.0,5,0,3,static,world_decor,160,8,0,1
13,0,5,42,big_stone,20p,8,Big Stone 4,4,65.5,4,0,4,static,world_decor,160,12,0,5
9,0,3,47,big_stone,20p,8,Big Stone 5,3,64.5,3,0,5,static,world_decor,160,9,0,3
8,0,1,42,big_stone,20p,8,Big Stone 6,5,59.0,5,0,6,static,world_decor,160,8,0,1
8,0,3,43,big_stone,20p,8,Big Stone 7,3,63.0,3,0,7,static,world_decor,160,8,0,3
10,2,4,37,big_stone,20p,8,Big Stone 8,1,59.0,1,3,8,static,world_decor,160,10,2,4
10,0,0,63,decorative_stone,20p,8,Decorative Stone 1,7,54.5,7,0,9,static,world_decor,160,10,0,0
9,2,3,50,decorative_stone,20p,8,Decorative Stone 2,2,54.5,2,2,10,static,world_decor,160,9,2,3
12,0,3,48,decorative_stone,20p,8,Decorative Stone 3,4,56.5,4,0,11,static,world_decor,160,11,0,3
8,0,0,52,decorative_stone,20p,8,Decorative Stone 4,6,60.0,6,0,12,static,world_decor,160,8,0,0
7,0,0,38,border_stone,20p,8,Border Stone 1,6,63.5,6,0,13,static,world_decor,160,7,0,0
9,0,1,36,border_stone,20p,8,Border Stone 2,5,59.0,5,0,14,static,world_decor,160,9,0,1
10,0,3,48,border_stone,20p,8,Border Stone 3,5,55.5,5,0,15,static,world_decor,160,10,0,3
5,0,0,50,border_stone,20p,8,Border Stone 4,9,63.0,9,0,16,static,world_decor,160,5,0,0
6,0,0,41,border_stone,20p,8,Border Stone 5,7,58.0,7,0,17,static,world_decor,160,6,0,0
6,0,1,47,border_stone,20p,8,Border Stone 6,5,56.0,5,0,18,static,world_decor,160,6,0,1
12,0,0,55,border_stone,20p,8,Border Stone 7,6,53.5,6,0,19,static,world_decor,160,12,0,0
10,0,0,46,border_stone,20p,8,Border Stone 8,6,61.5,6,0,20,static,world_decor,160,9,0,0
10,1,2,50,small_stone,20p,8,Small Stone 1,1,59.0,1,1,21,static,world_decor,160,10,1,2
9,0,2,55,small_stone,20p,8,Small Stone 2,3,58.5,3,1,22,static,world_decor,160,8,0,2
8,0,1,39,small_stone,20p,8,Small Stone 3,5,59.0,5,0,23,static,world_decor,160,8,0,1
7,1,1,47,small_stone,20p,8,Small Stone 4,2,57.5,2,1,24,static,world_decor,160,7,1,1
12,2,2,51,small_stone,20p,8,Small Stone 5,2,52.0,2,2,25,static,world_decor,160,10,2,2
8,1,2,52,small_stone,20p,8,Small Stone 6,2,60.5,2,1,26,static,world_decor,160,8,1,2
7,0,0,41,small_stone,20p,8,Small Stone 7,6,58.0,6,0,27,static,world_decor,160,7,0,0
2,0,0,37,small_stone,20p,8,Small Stone 8,9,67.0,9,0,28,static,world_decor,160,2,0,0
0,0,0,0,wreck,20p,6,Wreck 1,44,314.5,44,0,29,static,world_decor,120,0,0,0
0,0,0,0,wreck,20p,5,Wreck 2,75,357.0,75,0,30,static,world_decor,100,0,0,0
0,0,0,0,wreck,20p,5,Wreck 3,42,293.5,42,0,31,static,world_decor,100,0,0,0
0,0,0,1,wreck,20p,7,Wreck 4,35,317.0,35,0,32,static,world_decor,140,0,0,0
0,0,0,1,wreck,20p,5,Wreck 5,36,337.0,36,0,33,static,world_decor,100,0,0,0
11,0,0,43,grave,20p,8,Grave,6,57.0,6,0,34,static,world_decor,160,11,0,0
15,1,2,42,small_plant,20p,8,Small Plant 1,2,58.0,2,1,35,static,world_decor,160,13,1,2
9,0,1,40,small_plant,20p,8,Small Plant 2,4,57.0,4,0,36,static,world_decor,160,8,0,1
13,0,2,43,small_plant,20p,8,Small Plant 3,3,63.0,3,1,37,static,world_decor,160,13,0,2
6,1,1,43,toadstool,20p,8,Toadstool 1,2,58.5,2,1,38,static,world_decor,160,6,1,1
13,0,1,46,toadstool,20p,8,Toadstool 2,4,63.5,4,0,39,static,world_decor,160,13,0,1
8,2,4,42,toadstool,20p,8,Toadstool 3,2,63.0,2,2,40,static,world_decor,160,8,2,4
8,0,2,50,stump,20p,8,Tree Stump 1,4,67.0,4,0,41,static,world_decor,160,8,0,2
9,0,0,45,stump,20p,8,Tree Stump 2,6,58.0,6,0,42,static,world_decor,160,9,0,0
0,0,0,5,dead_tree,20p,8,Dead Tree 1,18,211.5,18,0,43,static,world_decor,160,0,0,0
0,0,0,1,dead_tree,20p,7,Dead Tree 2,17,209.5,17,0,44,static,world_decor,140,0,0,0
0,0,0,3,cactus,20p,8,Cactus 1,22,151.5,22,0,45,static,world_decor,160,0,0,0
0,0,0,2,cactus,20p,8,Cactus 2,27,218.5,27,0,46,static,world_decor,160,0,0,0
0,0,0,3,cactus,20p,8,Cactus 3,25,173.0,25,0,47,static,world_decor,160,0,0,0
0,0,0,4,cactus,20p,8,Cactus 4,18,169.0,18,0,48,static,world_decor,160,0,0,0
0,0,0,3,skeleton,20p,7,Skeleton,28,222.0,28,0,49,static,world_decor,140,0,0,0
9,0,0,43,small_flower,20p,8,Small Flower 1,6,58.0,6,0,50,static,world_decor,160,9,0,0
14,1,2,70,small_flower,20p,8,Small Flower 2,2,48.5,2,2,51,static,world_decor,160,14,1,2
12,0,1,43,small_flower,20p,8,Small Flower 3,3,61.0,3,0,52,static,world_decor,160,11,0,1
8,0,2,40,small_bush,20p,8,Small Bush 1,3,57.5,3,0,53,static,world_decor,160,8,0,2
8,0,1,40,small_bush,20p,8,Small Bush 2,3,67.0,3,1,54,static,world_decor,160,8,0,1
11,0,0,55,small_bush,20p,8,Small Bush 3,6,55.0,6,0,55,static,world_decor,160,11,0,0
11,3,4,56,small_bush,20p,8,Small Bush 4,1,55.0,1,3,56,static,world_decor,160,10,3,4
8,0,1,47,bush,20p,8,Bush 1,3,57.0,3,1,57,static,world_decor,160,8,0,1
6,0,1,33,bush,20p,8,Bush 2,3,62.5,3,1,58,static,world_decor,160,6,0,1
10,0,2,46,bush,20p,8,Bush 3,5,62.5,5,0,59,static,world_decor,160,10,0,2
12,0,2,47,bush,20p,8,Bush 4,4,57.0,4,0,60,static,world_decor,160,11,0,2
18,0,1,52,bush,20p,8,Bush 5,4,58.0,4,0,61,static,world_decor,160,18,0,1
0,0,0,0,reed,20p,1,Reed 1,78,265.5,78,0,62,static,world_decor,20,0,0,0
1,0,0,1,reed,20p,1,Reed 2,14,395.5,14,0,63,static,world_decor,20,1,0,0
0,0,0,0,reed,20p,1,Reed 4,44,354.5,44,0,65,static,world_decor,20,0,0,0
0,0,0,1,reed,20p,1,Reed 6,21,500.5,21,0,67,static,world_decor,20,0,0,0
34,0,3,334,adult_tree,20p,8,Birch 1,4,27.0,4,0,68,static,world_decor,160,20,0,3
34,0,5,330,adult_tree,20p,8,Birch 2,5,28.5,5,0,69,static,world_decor,160,21,0,5
47,0,1,383,adult_tree,20p,8,Elm 1,4,25.5,4,0,70,static,world_decor,160,26,0,1
54,0,6,410,adult_tree,20p,8,Elm 2,4,23.0,4,0,71,static,world_decor,160,31,0,6
58,0,7,432,adult_tree,20p,8,Oak,5,25.0,5,0,72,static,world_decor,160,30,0,7
61,0,6,435,adult_tree,20p,8,Adult Tree 6,4,23.0,4,0,73,static,world_decor,160,33,0,6
58,0,4,330,adult_tree,20p,8,Adult Tree 7,4,27.0,4,0,74,static,world_decor,160,32,0,4
60,0,5,326,adult_tree,20p,8,Adult Tree 8,4,29.0,4,0,75,static,world_decor,160,31,0,5
65,0,7,368,adult_tree,20p,8,Adult Tree 9,4,26.0,4,0,76,static,world_decor,160,33,0,6
51,0,4,383,adult_tree,20p,8,Adult Tree 10,4,28.5,4,0,77,static,world_decor,160,30,0,4
2,0,0,4,palm,20p,8,Palm 1,13,171.5,13,0,78,static,world_decor,160,1,0,0
2,0,0,9,palm,20p,8,Palm 2,12,179.0,12,0,79,static,world_decor,160,1,0,0
95,0,8,557,adult_tree,20p,8,Adult Tree 13,4,18.0,4,0,80,static,world_decor,160,62,0,8
91,0,8,522,adult_tree,20p,8,Adult Tree 14,4,18.0,4,0,81,static,world_decor,160,59,0,8
34,0,1,196,building_stone,20p,8,Building Stone 1,5,27.0,5,0,115,static,world_decor,160,29,0,1
29,0,1,238,building_stone,20p,8,Building Stone 2,5,25.0,5,0,116,static,world_decor,160,24,0,1
28,0,3,210,building_stone,20p,8,Building Stone 3,5,27.0,5,0,117,static,world_decor,160,24,0,3
31,0,0,232,building_stone,20p,8,Building Stone 4,7,25.5,7,0,118,static,world_decor,160,28,0,0
20,0,1,210,building_stone,20p,8,Building Stone 5,5,28.0,5,0,119,static,world_decor,160,19,0,1
28,0,1,216,building_stone,20p,8,Building Stone 6,5,27.0,5,0,120,static,world_decor,160,26,0,1
26,0,0,180,building_stone,20p,8,Building Stone 7,6,27.0,6,0,121,static,world_decor,160,24,0,0
26,0,0,201,building_stone,20p,8,Building Stone 8,6,27.0,6,0,122,static,world_decor,160,24,0,0
33,0,1,212,building_stone,20p,8,Building Stone 9,5,26.0,5,0,123,static,world_decor,160,30,0,1
32,0,2,215,building_stone,20p,8,Building Stone 10,5,27.0,5,0,124,static,world_decor,160,27,0,2
29,0,0,212,building_stone,20p,8,Building Stone 11,6,26.0,6,0,125,static,world_decor,160,25,0,0
30,0,1,213,building_stone,20p,8,Building Stone 12,5,25.0,5,0,126,static,world_decor,160,29,0,1
6,1,1,37,building_stone,20p,8,Building Stone 13,1,80.0,1,1,127,static,world_decor,160,6,1,1
2,0,0,7,big_stone,2p,8,Big Stone 1,8,39.0,8,0,1,runtime,world_decor,16,2,0,0
0,0,0,9,big_stone,2p,8,Big Stone 2,16,36.0,16,0,2,runtime,world_decor,16,0,0,0
1,0,0,5,big_stone,2p,8,Big Stone 3,14,63.5,14,0,3,runtime,world_decor,16,1,0,0
0,0,0,1,big_stone,2p,8,Big Stone 4,29,67.5,29,0,4,runtime,world_decor,16,0,0,0
2,0,0,8,big_stone,2p,8,Big Stone 5,8,48.5,8,0,5,runtime,world_decor,16,2,0,0
0,0,0,4,big_stone,2p,8,Big Stone 6,15,43.5,15,0,6,runtime,world_decor,16,0,0,0
3,1,1,5,big_stone,2p,8,Big Stone 7,2,45.5,2,1,7,runtime,world_decor,16,3,1,1
0,0,0,2,big_stone,2p,8,Big Stone 8,15,59.0,15,0,8,runtime,world_decor,16,0,0,0
0,0,0,3,decorative_stone,2p,8,Decorative Stone 1,17,52.5,17,0,9,runtime,world_decor,16,0,0,0
1,0,0,8,decorative_stone,2p,8,Decorative Stone 2,13,42.0,13,0,10,runtime,world_decor,16,1,0,0
1,0,0,8,decorative_stone,2p,8,Decorative Stone 3,9,48.0,9,0,11,runtime,world_decor,16,1,0,0
0,0,0,5,decorative_stone,2p,8,Decorative Stone 4,16,53.0,16,0,12,runtime,world_decor,16,0,0,0
0,0,0,4,border_stone,2p,8,Border Stone 1,17,57.0,17,0,13,runtime,world_decor,16,0,0,0
0,0,0,0,border_stone,2p,8,Border Stone 2,37,66.5,37,0,14,runtime,world_decor,16,0,0,0
2,0,0,6,border_stone,2p,8,Border Stone 3,9,63.5,9,0,15,runtime,world_decor,16,2,0,0
0,0,0,7,border_stone,2p,8,Border Stone 4,19,53.5,19,0,16,runtime,world_decor,16,0,0,0
0,0,0,2,border_stone,2p,8,Border Stone 5,30,59.0,30,0,17,runtime,world_decor,16,0,0,0
1,0,1,6,border_stone,2p,8,Border Stone 6,5,43.5,5,0,18,runtime,world_decor,16,1,0,1
0,0,0,6,border_stone,2p,8,Border Stone 7,20,50.5,20,0,19,runtime,world_decor,16,0,0,0
0,0,0,7,border_stone,2p,8,Border Stone 8,21,38.5,21,0,20,runtime,world_decor,16,0,0,0
1,0,0,4,small_stone,2p,8,Small Stone 1,12,64.5,12,0,21,runtime,world_decor,16,1,0,0
1,0,0,4,small_stone,2p,8,Small Stone 2,13,58.0,13,0,22,runtime,world_decor,16,1,0,0
0,0,0,6,small_stone,2p,8,Small Stone 3,24,46.5,24,0,23,runtime,world_decor,16,0,0,0
0,0,0,2,small_stone,2p,8,Small Stone 4,23,63.5,23,0,24,runtime,world_decor,16,0,0,0
3,0,0,5,small_stone,2p,8,Small Stone 5,13,62.0,13,0,25,runtime,world_decor,16,3,0,0
2,0,0,8,small_stone,2p,8,Small Stone 6,9,38.0,9,0,26,runtime,world_decor,16,2,0,0
0,0,0,6,small_stone,2p,8,Small Stone 7,19,44.0,19,0,27,runtime,world_decor,16,0,0,0
2,0,0,7,small_stone,2p,8,Small Stone 8,10,44.0,10,0,28,runtime,world_decor,16,2,0,0
0,0,0,0,wreck,2p,6,Wreck 1,76,265.5,76,0,29,runtime,world_decor,12,0,0,0
0,0,0,0,wreck,2p,3,Wreck 2,188,265.0,188,0,30,runtime,world_decor,6,0,0,0
0,0,0,0,wreck,2p,7,Wreck 3,105,346.0,105,0,31,runtime,world_decor,14,0,0,0
0,0,0,1,wreck,2p,7,Wreck 4,15,273.0,15,0,32,runtime,world_decor,14,0,0,0
0,0,0,0,wreck,2p,5,Wreck 5,156,367.0,156,0,33,runtime,world_decor,10,0,0,0
2,0,0,6,grave,2p,8,Grave,12,70.0,12,0,34,runtime,world_decor,16,2,0,0
0,0,0,4,small_plant,2p,8,Small Plant 1,19,62.0,19,0,35,runtime,world_decor,16,0,0,0
0,0,0,7,small_plant,2p,8,Small Plant 2,17,64.0,17,0,36,runtime,world_decor,16,0,0,0
1,0,1,3,small_plant,2p,8,Small Plant 3,3,79.0,3,1,37,runtime,world_decor,16,1,0,1
0,0,0,6,toadstool,2p,8,Toadstool 1,18,41.5,18,0,38,runtime,world_decor,16,0,0,0
2,1,1,10,toadstool,2p,8,Toadstool 2,2,40.5,2,1,39,runtime,world_decor,16,2,1,1
0,0,0,6,toadstool,2p,8,Toadstool 3,16,53.0,16,0,40,runtime,world_decor,16,0,0,0
0,0,0,6,stump,2p,8,Tree Stump 1,18,63.5,18,0,41,runtime,world_decor,16,0,0,0
3,0,1,7,stump,2p,8,Tree Stump 2,4,54.0,4,0,42,runtime,world_decor,16,3,0,1
0,0,0,0,dead_tree,2p,8,Dead Tree 1,88,263.5,88,0,43,runtime,world_decor,16,0,0,0
0,0,0,0,dead_tree,2p,8,Dead Tree 2,106,332.5,106,0,44,runtime,world_decor,16,0,0,0
0,0,0,1,cactus,2p,8,Cactus 1,34,157.0,34,0,45,runtime,world_decor,16,0,0,0
0,0,0,0,cactus,2p,8,Cactus 2,54,155.0,54,0,46,runtime,world_decor,16,0,0,0
0,0,0,0,cactus,2p,8,Cactus 3,46,159.5,46,0,47,runtime,world_decor,16,0,0,0
0,0,0,0,cactus,2p,8,Cactus 4,50,164.5,50,0,48,runtime,world_decor,16,0,0,0
0,0,0,0,skeleton,2p,8,Skeleton,86,205.5,86,0,49,runtime,world_decor,16,0,0,0
3,0,0,10,small_flower,2p,8,Small Flower 1,7,47.0,7,0,50,runtime,world_decor,16,3,0,0
1,0,0,2,small_flower,2p,8,Small Flower 2,12,68.5,12,0,51,runtime,world_decor,16,1,0,0
0,0,0,2,small_flower,2p,8,Small Flower 3,16,71.0,16,0,52,runtime,world_decor,16,0,0,0
1,0,0,5,small_bush,2p,8,Small Bush 1,6,58.5,6,0,53,runtime,world_decor,16,1,0,0
1,0,0,5,small_bush,2p,8,Small Bush 2,10,47.5,10,0,54,runtime,world_decor,16,1,0,0
3,0,1,4,small_bush,2p,8,Small Bush 3,3,54.0,3,1,55,runtime,world_decor,16,3,0,1
0,0,0,4,small_bush,2p,8,Small Bush 4,18,53.0,18,0,56,runtime,world_decor,16,0,0,0
3,0,0,3,bush,2p,8,Bush 1,9,65.5,9,0,57,runtime,world_decor,16,3,0,0
0,0,0,5,bush,2p,8,Bush 2,15,103.5,15,0,58,runtime,world_decor,16,0,0,0
0,0,0,3,bush,2p,8,Bush 3,15,65.5,15,0,59,runtime,world_decor,16,0,0,0
0,0,0,9,bush,2p,8,Bush 4,17,30.5,17,0,60,runtime,world_decor,16,0,0,0
1,0,0,7,bush,2p,8,Bush 5,14,46.0,14,0,61,runtime,world_decor,16,1,0,0
0,0,0,0,reed,2p,2,Reed 1,51,358.0,51,0,62,runtime,world_decor,4,0,0,0
0,0,0,1,reed,2p,2,Reed 2,24,303.5,24,0,63,runtime,world_decor,4,0,0,0
0,0,0,0,reed,2p,2,Reed 3,207,493.0,207,0,64,runtime,world_decor,4,0,0,0
0,0,0,0,reed,2p,2,Reed 4,127,390.0,127,0,65,runtime,world_decor,4,0,0,0
0,0,0,0,reed,2p,1,Reed 5,244,252.0,244,0,66,runtime,world_decor,2,0,0,0
4,0,0,38,adult_tree,2p,8,Birch 1,6,23.5,6,0,68,runtime,world_decor,16,2,0,0
10,0,2,44,adult_tree,2p,8,Birch 2,4,22.5,4,0,69,runtime,world_decor,16,6,0,2
3,0,0,20,adult_tree,2p,8,Elm 1,11,27.5,11,0,70,runtime,world_decor,16,3,0,0
